symbol,underlying,underlying_name,side,expiry,dte,strike,underlying_price,moneyness_pct,last,volume,open_interest,vol_oi_ratio,turnover,implied_volatility_pct,big_order_flag,volume_spike_flag,big_order_score,volume_spike_score,liquidity_score,total_score,source
VSAT260417C00050000,VSAT.US,VSAT,C,2026-04-17,30,50.0,50.18,-0.36,4.8,2604,0,2604.0,1249920.0,0.0,True,True,66.67,80.0,0.0,72.67,yfinance
IRDM260417C00025000,IRDM.US,IRDM,C,2026-04-17,30,25.0,26.24,-4.73,2.44,481,0,481.0,117364.0,0.0,True,True,50.0,100.0,0.0,72.5,yfinance
BTSG260417P00040000,BTSG.US,BTSG,P,2026-04-17,30,40.0,42.1,-4.99,1.55,217,0,217.0,33635.0,6.25,True,True,50.0,100.0,0.0,72.5,yfinance
MC260417C00065000,MC.US,MC,C,2026-04-17,30,65.0,53.23,22.11,1.4,49,0,49.0,6860.0,12.5,True,True,50.0,100.0,0.0,72.5,yfinance
FNB260515C00015000,FNB.US,FNB,C,2026-05-15,58,15.0,16.11,-6.89,3.32,116,0,116.0,38512.0,0.0,True,True,50.0,100.0,0.0,72.5,yfinance
SO260417P00097500,SO.US,SO,P,2026-04-17,30,97.5,98.27,-0.78,1.35,83,0,83.0,11205.0,0.78,True,True,57.14,90.48,0.0,72.14,yfinance
DHI260417P00180000,DHI.US,DHI,P,2026-04-17,30,180.0,142.14,26.64,36.7,24,0,24.0,88080.0,0.0,True,True,85.71,54.84,0.0,71.82,yfinance
GME260327C00026500,GME.US,GME,C,2026-03-27,9,26.5,23.59,12.34,0.17,3110,0,3110.0,52870.0,25.0,True,True,48.0,100.0,0.0,71.4,yfinance
INSM260515P00145000,INSM.US,INSM,P,2026-05-15,58,145.0,143.93,0.74,15.9,43,0,43.0,68370.0,0.0,True,True,66.67,76.92,0.0,71.28,yfinance
NXT260515C00100000,NXT.US,NXT,C,2026-05-15,58,100.0,121.84,-17.93,27.5,51,0,51.0,140250.0,0.0,True,True,62.5,81.82,0.0,71.19,yfinance
PATH260327C00012500,PATH.US,PATH,C,2026-03-27,9,12.5,11.98,4.34,0.34,1037,0,1037.0,35258.0,6.25,True,True,58.33,86.11,0.0,70.83,yfinance
AES260515P00016000,AES.US,AES,P,2026-05-15,58,16.0,14.2,12.68,1.93,84,0,84.0,16212.0,0.0,True,True,70.0,71.43,0.0,70.64,yfinance
GME260327P00023000,GME.US,GME,P,2026-03-27,9,23.0,23.59,-2.5,0.6,983,0,983.0,58980.0,6.25,True,True,64.0,78.38,0.0,70.47,yfinance
SO260515C00060000,SO.US,SO,C,2026-05-15,58,60.0,98.27,-38.94,31.96,20,0,20.0,63920.0,0.0,True,True,92.86,42.86,0.0,70.36,yfinance
SAIC260417P75000.US,SAIC.US,SAIC,P,2026-04-17,30,75.0,94.58,-20.7,0.15,3,1,1.5,45.0,44.4,True,True,57.14,86.0,0.0,70.13,longbridge
LRN260417P00085000,LRN.US,LRN,P,2026-04-17,30,85.0,87.08,-2.39,3.4,48,0,48.0,16320.0,3.13,True,True,100.0,33.33,0.0,70.0,yfinance
BTSG260417C00015000,BTSG.US,BTSG,C,2026-04-17,30,15.0,42.1,-64.37,26.69,50,0,50.0,133450.0,0.0,True,True,100.0,33.33,0.0,70.0,yfinance
IRDM260417C00002500,IRDM.US,IRDM,C,2026-04-17,30,2.5,26.24,-90.47,22.1,125,0,125.0,276250.0,0.0,True,True,100.0,33.33,0.0,70.0,yfinance
PHM260410P00135000,PHM.US,PHM,P,2026-04-10,23,135.0,121.96,10.69,15.85,13,0,13.0,20605.0,0.0,True,True,92.31,42.11,0.0,69.72,yfinance
GME260417P00023000,GME.US,GME,P,2026-04-17,30,23.0,23.59,-2.5,0.95,798,0,798.0,75810.0,3.13,True,True,68.0,70.27,0.0,69.02,yfinance
TWLO260327P00124000,TWLO.US,TWLO,P,2026-03-27,9,124.0,126.88,-2.27,4.45,26,0,26.0,11570.0,3.13,True,True,52.0,89.19,0.0,68.74,yfinance
LULU260515P00135000,LULU.US,LULU,P,2026-05-15,58,135.0,159.27,-15.24,3.67,796,0,796.0,292132.0,12.5,True,True,51.61,89.36,0.0,68.6,yfinance
CORT260515P00070000,CORT.US,CORT,P,2026-05-15,58,70.0,33.51,108.89,33.32,35,8,3.889,116620.0,0.0,True,True,100.0,30.0,0.0,68.5,yfinance
PLTR260515C175000.US,PLTR.US,PLTR,C,2026-05-15,58,175.0,155.08,12.84,6.68,1042,3808,0.274,715876.0,53.2,True,True,87.5,44.86,0.0,68.31,longbridge
LULU260417P00160000,LULU.US,LULU,P,2026-04-17,30,160.0,159.27,0.46,11.07,389,0,389.0,430623.0,0.0,True,True,80.65,53.19,0.0,68.29,yfinance
DOCU260417P00045000,DOCU.US,DOCU,P,2026-04-17,30,45.0,47.54,-5.34,2.5,241,0,241.0,60250.0,6.25,True,True,64.71,72.0,0.0,67.99,yfinance
VAL260515P00090000,VAL.US,VAL,P,2026-05-15,58,90.0,97.28,-7.48,7.9,40,0,40.0,31600.0,6.25,True,True,57.14,80.0,0.0,67.43,yfinance
